[2025-09-05 17:21:25] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:25] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:25] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:25] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:25] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:25] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:25] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:25] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:25] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:26] INFO: Iniciando testConnectivity desde controlador | Context: {"method":"ajaxProcessTestConnectivity","timestamp":"2025-09-05 17:21:26"}
[2025-09-05 17:21:26] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:26] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:26] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:26] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:26] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:26] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:26] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:27] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:27] INFO: Estado de OAuth verificado | Context: {"oauth_status":{"configured":true,"has_token":false,"token_valid":false,"is_connected":false,"token_expires":null,"scope":null,"last_updated":null}}
[2025-09-05 17:21:27] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:27] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:27] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:27] INFO: Resultado de getValidAccessToken | Context: {"has_access_token":false,"token_length":0,"token_prefix":"null"}
[2025-09-05 17:21:29] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:29] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:29] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:29] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:30] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:30] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:30] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:30] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:30] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:30] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:30] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:35] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:35] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:35] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:35] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:35] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:35] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:35] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:35] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:35] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:35] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:35] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:40] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:40] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:40] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:40] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:40] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:40] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:40] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:40] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:40] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:40] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:40] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:45] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:45] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:45] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:45] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:45] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:45] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:45] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:45] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:45] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:45] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:45] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:50] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:50] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:50] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:50] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:50] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:50] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:50] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:50] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:50] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:50] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:50] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:55] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:55] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:55] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:55] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:55] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:55] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:55] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:55] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:21:55] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:21:55] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:21:55] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:22:00] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:00] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:00] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:00] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:00] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:22:00] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:00] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:00] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:22:00] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:00] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:00] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:22:05] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:05] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:05] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
[2025-09-05 17:22:05] INFO: Información de la tabla de tokens | Context: {"total_records":2,"table_exists":true}
[2025-09-05 17:22:05] INFO: Datos del token obtenidos de la base de datos | Context: {"has_oauth_data":false,"oauth_data_keys":[],"access_token_length":0,"token_expires":"no_expires_field","expires_at":"no_expires_at_field","created_at":"no_created_at_field","updated_at":"no_updated_at_field","client_id":"no_client_id_field"}
[2025-09-05 17:22:05] INFO: Consultando tabla de tokens OAuth | Context: {"table_name":"ps_yuju_oauth_tokens","db_prefix":"ps_"}
